 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerCkmh_3400_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerC_3400_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  0.000  1.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1533 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  11 1.87E-01 1.61E+04 4.35E+14 1.88E+02 3.25E+00   19   0  3.01E-06 1.08E+01 1.39E+00
  12 1.99E-01 1.60E+04 4.38E+14 1.89E+02 3.27E+00   18   0  3.16E-06 1.08E+01 1.42E+00
  13 2.12E-01 1.58E+04 4.40E+14 1.90E+02 3.28E+00   18   0  3.33E-06 1.08E+01 1.44E+00
  14 2.26E-01 1.56E+04 4.43E+14 1.91E+02 3.30E+00   18   0  3.50E-06 1.09E+01 1.47E+00
  15 2.41E-01 1.54E+04 4.46E+14 1.92E+02 3.32E+00   18   0  3.69E-06 1.09E+01 1.49E+00
  16 2.56E-01 1.52E+04 4.48E+14 1.93E+02 3.35E+00   18   0  3.88E-06 1.09E+01 1.52E+00
  17 2.73E-01 1.50E+04 4.51E+14 1.94E+02 3.37E+00   18   0  4.08E-06 1.09E+01 1.54E+00
  18 2.91E-01 1.48E+04 4.54E+14 1.96E+02 3.39E+00   18   0  4.29E-06 1.09E+01 1.56E+00
  19 3.10E-01 1.46E+04 4.58E+14 1.97E+02 3.41E+00   18   0  4.52E-06 1.09E+01 1.59E+00
  20 3.30E-01 1.44E+04 4.61E+14 1.99E+02 3.44E+00   18   0  4.75E-06 1.09E+01 1.61E+00
  21 3.51E-01 1.42E+04 4.64E+14 2.00E+02 3.46E+00   18   0  5.00E-06 1.08E+01 1.63E+00
  22 3.74E-01 1.39E+04 4.69E+14 2.02E+02 3.50E+00   18   0  5.32E-06 1.09E+01 1.65E+00
  23 3.98E-01 1.37E+04 4.73E+14 2.04E+02 3.53E+00   18   0  5.59E-06 1.08E+01 1.67E+00
  24 4.24E-01 1.35E+04 4.77E+14 2.05E+02 3.56E+00   18   0  5.88E-06 1.08E+01 1.69E+00
  25 4.51E-01 1.32E+04 4.81E+14 2.07E+02 3.59E+00   18   0  6.18E-06 1.07E+01 1.70E+00
  26 4.80E-01 1.30E+04 4.85E+14 2.09E+02 3.62E+00   18   0  6.49E-06 1.06E+01 1.71E+00
  27 5.11E-01 1.28E+04 4.89E+14 2.11E+02 3.65E+00   17   0  6.82E-06 1.06E+01 1.73E+00
  28 5.45E-01 1.26E+04 4.93E+14 2.13E+02 3.68E+00   17   0  7.17E-06 1.05E+01 1.74E+00
  29 5.80E-01 1.23E+04 4.98E+14 2.14E+02 3.71E+00   17   0  7.53E-06 1.04E+01 1.75E+00
  30 6.17E-01 1.21E+04 5.02E+14 2.16E+02 3.75E+00   17   0  7.90E-06 1.03E+01 1.75E+00
  31 6.57E-01 1.19E+04 5.07E+14 2.18E+02 3.78E+00   17   0  8.29E-06 1.02E+01 1.76E+00
  32 7.00E-01 1.17E+04 5.12E+14 2.20E+02 3.82E+00   17   0  8.70E-06 1.01E+01 1.77E+00
  33 7.45E-01 1.15E+04 5.17E+14 2.23E+02 3.85E+00   17   0  9.13E-06 9.93E+00 1.77E+00
  34 7.94E-01 1.12E+04 5.22E+14 2.25E+02 3.89E+00   17   0  9.57E-06 9.80E+00 1.77E+00
  35 8.45E-01 1.10E+04 5.27E+14 2.27E+02 3.93E+00   17   0  1.00E-05 9.66E+00 1.77E+00
  36 9.00E-01 1.08E+04 5.32E+14 2.29E+02 3.97E+00   17   0  1.05E-05 9.52E+00 1.77E+00
  37 9.58E-01 1.06E+04 5.37E+14 2.31E+02 4.01E+00   17   0  1.10E-05 9.37E+00 1.77E+00
  38 1.02E+00 1.04E+04 5.42E+14 2.34E+02 4.05E+00   17   0  1.16E-05 9.22E+00 1.76E+00
  39 1.09E+00 1.02E+04 5.48E+14 2.36E+02 4.09E+00   16   0  1.21E-05 9.06E+00 1.76E+00
  40 1.16E+00 9.98E+03 5.53E+14 2.38E+02 4.13E+00   16   0  1.27E-05 8.90E+00 1.75E+00
  41 1.23E+00 9.78E+03 5.59E+14 2.41E+02 4.17E+00   16   0  1.33E-05 8.74E+00 1.75E+00
  42 1.31E+00 9.58E+03 5.65E+14 2.43E+02 4.22E+00   16   0  1.39E-05 8.58E+00 1.74E+00
  43 1.40E+00 9.38E+03 5.71E+14 2.46E+02 4.26E+00   16   0  1.46E-05 8.42E+00 1.73E+00
  44 1.49E+00 9.18E+03 5.77E+14 2.49E+02 4.31E+00   16   0  1.53E-05 8.32E+00 1.73E+00
  45 1.58E+00 8.99E+03 5.83E+14 2.51E+02 4.35E+00   16   0  1.61E-05 8.24E+00 1.72E+00
  46 1.69E+00 8.79E+03 5.90E+14 2.54E+02 4.40E+00   16   0  1.70E-05 8.16E+00 1.72E+00
  47 1.80E+00 8.60E+03 5.96E+14 2.57E+02 4.45E+00   16   0  1.79E-05 8.08E+00 1.72E+00
  48 1.91E+00 8.41E+03 6.03E+14 2.60E+02 4.50E+00   16   0  1.88E-05 8.00E+00 1.71E+00
  49 2.04E+00 8.22E+03 6.10E+14 2.63E+02 4.55E+00   16   0  1.98E-05 7.92E+00 1.71E+00
  50 2.17E+00 8.03E+03 6.17E+14 2.66E+02 4.61E+00   16   0  2.09E-05 7.85E+00 1.70E+00
  51 2.31E+00 7.84E+03 6.25E+14 2.69E+02 4.66E+00   15   0  2.20E-05 7.77E+00 1.70E+00
  52 2.46E+00 7.65E+03 6.32E+14 2.72E+02 4.72E+00   15   0  2.32E-05 7.70E+00 1.69E+00
  53 2.62E+00 7.47E+03 6.40E+14 2.76E+02 4.78E+00   15   0  2.45E-05 7.63E+00 1.69E+00
  54 2.79E+00 7.28E+03 6.48E+14 2.79E+02 4.84E+00   15   0  2.58E-05 7.56E+00 1.68E+00
  55 2.97E+00 7.10E+03 6.56E+14 2.83E+02 4.90E+00   15   0  2.72E-05 7.49E+00 1.68E+00
  56 3.16E+00 6.92E+03 6.65E+14 2.86E+02 4.96E+00   15   0  2.88E-05 7.42E+00 1.67E+00
  57 3.36E+00 6.73E+03 6.74E+14 2.90E+02 5.03E+00   15   0  3.04E-05 7.36E+00 1.67E+00
  58 3.58E+00 6.55E+03 6.83E+14 2.94E+02 5.10E+00   15   0  3.21E-05 7.29E+00 1.66E+00
  59 3.81E+00 6.37E+03 6.93E+14 2.98E+02 5.17E+00   15   0  3.39E-05 7.23E+00 1.66E+00
  60 4.06E+00 6.20E+03 7.03E+14 3.03E+02 5.24E+00   15   0  3.59E-05 7.16E+00 1.65E+00
  61 4.32E+00 6.07E+03 7.10E+14 3.06E+02 5.29E+00   15   0  3.74E-05 7.12E+00 1.65E+00
  62 4.60E+00 5.90E+03 7.20E+14 3.10E+02 5.37E+00   14   0  3.96E-05 7.05E+00 1.64E+00
  63 4.90E+00 5.72E+03 7.31E+14 3.15E+02 5.46E+00   14   0  4.19E-05 6.98E+00 1.64E+00
  64 5.22E+00 5.54E+03 7.43E+14 3.20E+02 5.54E+00   14   0  4.44E-05 6.92E+00 1.64E+00
  65 5.56E+00 5.33E+03 7.57E+14 3.26E+02 5.65E+00   14   0  4.75E-05 6.87E+00 1.63E+00
  66 5.92E+00 5.17E+03 7.69E+14 3.31E+02 5.74E+00   14   0  5.03E-05 6.81E+00 1.62E+00
  67 6.30E+00 5.00E+03 7.82E+14 3.37E+02 5.84E+00   14   0  5.33E-05 6.74E+00 1.62E+00
  68 6.71E+00 4.83E+03 7.96E+14 3.43E+02 5.94E+00   14   0  5.66E-05 6.67E+00 1.61E+00
  69 7.14E+00 4.67E+03 8.10E+14 3.49E+02 6.04E+00   14   0  6.01E-05 6.61E+00 1.61E+00
  70 7.61E+00 4.50E+03 8.24E+14 3.55E+02 6.15E+00   14   0  6.38E-05 6.54E+00 1.61E+00
  71 8.10E+00 4.34E+03 8.39E+14 3.61E+02 6.26E+00   13   0  6.78E-05 6.47E+00 1.60E+00
  72 8.62E+00 4.19E+03 8.55E+14 3.68E+02 6.38E+00   13   0  7.20E-05 6.41E+00 1.60E+00
  73 9.18E+00 4.08E+03 8.66E+14 3.73E+02 6.46E+00   13   0  7.54E-05 6.35E+00 1.60E+00
  74 9.78E+00 3.92E+03 8.83E+14 3.80E+02 6.59E+00   13   0  8.03E-05 6.28E+00 1.60E+00
  75 1.04E+01 3.77E+03 9.01E+14 3.88E+02 6.72E+00   13   0  8.55E-05 6.21E+00 1.59E+00
  76 1.11E+01 3.62E+03 9.19E+14 3.96E+02 6.86E+00   13   1  9.11E-05 6.14E+00 1.59E+00
  77 1.18E+01 3.47E+03 9.38E+14 4.04E+02 7.00E+00   13   1  9.70E-05 6.07E+00 1.59E+00
  78 1.26E+01 3.30E+03 9.62E+14 4.15E+02 7.18E+00   13   0  1.05E-04 6.01E+00 1.59E+00
  79 1.34E+01 3.16E+03 9.83E+14 4.24E+02 7.34E+00   13   0  1.12E-04 5.93E+00 1.58E+00
  80 1.42E+01 3.01E+03 1.01E+15 4.34E+02 7.52E+00   12   0  1.20E-04 5.92E+00 1.58E+00
  81 1.52E+01 2.88E+03 1.03E+15 4.44E+02 7.69E+00   12   0  1.28E-04 5.85E+00 1.57E+00
  82 1.62E+01 2.75E+03 1.05E+15 4.54E+02 7.87E+00   12   0  1.36E-04 5.77E+00 1.57E+00
  83 1.72E+01 2.63E+03 1.08E+15 4.65E+02 8.05E+00   12   1  1.46E-04 5.69E+00 1.57E+00
  84 1.83E+01 2.51E+03 1.10E+15 4.76E+02 8.24E+00   12   1  1.56E-04 5.61E+00 1.57E+00
  85 1.95E+01 2.39E+03 1.13E+15 4.87E+02 8.44E+00   12   1  1.67E-04 5.53E+00 1.57E+00
  86 2.08E+01 2.28E+03 1.16E+15 4.99E+02 8.65E+00   12   1  1.78E-04 5.45E+00 1.57E+00
  87 2.21E+01 2.17E+03 1.19E+15 5.12E+02 8.86E+00   11   1  1.91E-04 5.37E+00 1.56E+00
  88 2.35E+01 2.06E+03 1.22E+15 5.25E+02 9.08E+00   11   1  2.04E-04 5.29E+00 1.56E+00
  89 2.51E+01 1.99E+03 1.24E+15 5.34E+02 9.25E+00   11   2  2.15E-04 5.19E+00 1.56E+00
  90 2.67E+01 1.89E+03 1.27E+15 5.48E+02 9.49E+00   11   2  2.30E-04 5.11E+00 1.56E+00
  91 2.84E+01 1.79E+03 1.31E+15 5.62E+02 9.74E+00   11   2  2.47E-04 5.02E+00 1.56E+00
  92 3.03E+01 1.70E+03 1.34E+15 5.77E+02 1.00E+01   11   2  2.65E-04 4.94E+00 1.55E+00
  93 3.22E+01 1.61E+03 1.38E+15 5.93E+02 1.03E+01   10   2  2.84E-04 4.85E+00 1.55E+00
  94 3.43E+01 1.53E+03 1.41E+15 6.09E+02 1.05E+01   10   2  3.05E-04 4.76E+00 1.55E+00
  95 3.65E+01 1.45E+03 1.45E+15 6.26E+02 1.08E+01   10   2  3.28E-04 4.68E+00 1.55E+00
  96 3.89E+01 1.37E+03 1.49E+15 6.43E+02 1.11E+01   10   2  3.52E-04 4.59E+00 1.54E+00
  97 4.14E+01 1.30E+03 1.53E+15 6.61E+02 1.15E+01   10   2  3.79E-04 4.50E+00 1.54E+00
  98 4.41E+01 1.23E+03 1.58E+15 6.80E+02 1.18E+01   10   2  4.07E-04 4.42E+00 1.54E+00
  99 4.70E+01 1.16E+03 1.62E+15 6.99E+02 1.21E+01    9   2 4.38E-04 4.34E+00 1.53E+00
 100 5.00E+01 1.10E+03 1.67E+15 7.19E+02 1.25E+01    9   3 4.71E-04 4.25E+00 1.53E+00
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
