 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerCkmh_3200_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerC_3200_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  0.000  1.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1541 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  15 2.41E-01 1.59E+04 4.39E+14 1.89E+02 3.28E+00   18   0  3.61E-06 1.08E+01 1.45E+00
  16 2.56E-01 1.57E+04 4.42E+14 1.90E+02 3.30E+00   18   0  3.80E-06 1.08E+01 1.48E+00
  17 2.73E-01 1.55E+04 4.45E+14 1.92E+02 3.32E+00   18   0  3.99E-06 1.09E+01 1.50E+00
  18 2.91E-01 1.53E+04 4.48E+14 1.93E+02 3.34E+00   18   0  4.20E-06 1.09E+01 1.52E+00
  19 3.10E-01 1.50E+04 4.51E+14 1.94E+02 3.36E+00   18   0  4.42E-06 1.09E+01 1.54E+00
  20 3.30E-01 1.48E+04 4.54E+14 1.96E+02 3.39E+00   18   0  4.65E-06 1.08E+01 1.57E+00
  21 3.51E-01 1.46E+04 4.57E+14 1.97E+02 3.41E+00   18   0  4.90E-06 1.08E+01 1.59E+00
  22 3.74E-01 1.43E+04 4.62E+14 1.99E+02 3.45E+00   18   0  5.21E-06 1.09E+01 1.61E+00
  23 3.98E-01 1.41E+04 4.66E+14 2.01E+02 3.47E+00   18   0  5.48E-06 1.08E+01 1.63E+00
  24 4.24E-01 1.39E+04 4.69E+14 2.02E+02 3.50E+00   18   0  5.77E-06 1.08E+01 1.65E+00
  25 4.51E-01 1.36E+04 4.73E+14 2.04E+02 3.53E+00   18   0  6.06E-06 1.07E+01 1.66E+00
  26 4.80E-01 1.34E+04 4.77E+14 2.06E+02 3.56E+00   18   0  6.37E-06 1.06E+01 1.68E+00
  27 5.11E-01 1.32E+04 4.82E+14 2.07E+02 3.59E+00   18   0  6.70E-06 1.06E+01 1.69E+00
  28 5.45E-01 1.30E+04 4.86E+14 2.09E+02 3.62E+00   17   0  7.04E-06 1.05E+01 1.70E+00
  29 5.80E-01 1.27E+04 4.90E+14 2.11E+02 3.66E+00   17   0  7.39E-06 1.04E+01 1.71E+00
  30 6.17E-01 1.25E+04 4.95E+14 2.13E+02 3.69E+00   17   0  7.76E-06 1.03E+01 1.72E+00
  31 6.57E-01 1.23E+04 4.99E+14 2.15E+02 3.73E+00   17   0  8.15E-06 1.02E+01 1.73E+00
  32 7.00E-01 1.20E+04 5.04E+14 2.17E+02 3.76E+00   17   0  8.56E-06 1.01E+01 1.73E+00
  33 7.45E-01 1.18E+04 5.09E+14 2.19E+02 3.80E+00   17   0  8.98E-06 9.97E+00 1.74E+00
  34 7.94E-01 1.16E+04 5.14E+14 2.21E+02 3.83E+00   17   0  9.42E-06 9.84E+00 1.74E+00
  35 8.45E-01 1.14E+04 5.19E+14 2.23E+02 3.87E+00   17   0  9.88E-06 9.71E+00 1.74E+00
  36 9.00E-01 1.11E+04 5.24E+14 2.26E+02 3.91E+00   17   0  1.04E-05 9.57E+00 1.74E+00
  37 9.58E-01 1.09E+04 5.29E+14 2.28E+02 3.95E+00   17   0  1.09E-05 9.43E+00 1.74E+00
  38 1.02E+00 1.07E+04 5.35E+14 2.30E+02 3.99E+00   17   0  1.14E-05 9.28E+00 1.74E+00
  39 1.09E+00 1.05E+04 5.40E+14 2.33E+02 4.03E+00   17   0  1.19E-05 9.13E+00 1.73E+00
  40 1.16E+00 1.03E+04 5.46E+14 2.35E+02 4.07E+00   16   0  1.25E-05 8.98E+00 1.73E+00
  41 1.23E+00 1.01E+04 5.51E+14 2.37E+02 4.11E+00   16   0  1.31E-05 8.82E+00 1.72E+00
  42 1.31E+00 9.85E+03 5.57E+14 2.40E+02 4.16E+00   16   0  1.37E-05 8.66E+00 1.71E+00
  43 1.40E+00 9.65E+03 5.63E+14 2.43E+02 4.20E+00   16   0  1.44E-05 8.50E+00 1.71E+00
  44 1.49E+00 9.44E+03 5.69E+14 2.45E+02 4.25E+00   16   0  1.51E-05 8.34E+00 1.70E+00
  45 1.58E+00 9.23E+03 5.75E+14 2.48E+02 4.29E+00   16   0  1.59E-05 8.26E+00 1.70E+00
  46 1.69E+00 9.03E+03 5.82E+14 2.51E+02 4.34E+00   16   0  1.67E-05 8.18E+00 1.69E+00
  47 1.80E+00 8.83E+03 5.89E+14 2.54E+02 4.39E+00   16   0  1.76E-05 8.10E+00 1.69E+00
  48 1.91E+00 8.63E+03 5.95E+14 2.56E+02 4.44E+00   16   0  1.86E-05 8.02E+00 1.69E+00
  49 2.04E+00 8.43E+03 6.02E+14 2.59E+02 4.49E+00   16   0  1.95E-05 7.95E+00 1.68E+00
  50 2.17E+00 8.23E+03 6.09E+14 2.63E+02 4.55E+00   16   0  2.06E-05 7.87E+00 1.68E+00
  51 2.31E+00 8.04E+03 6.17E+14 2.66E+02 4.60E+00   15   0  2.17E-05 7.80E+00 1.68E+00
  52 2.46E+00 7.84E+03 6.24E+14 2.69E+02 4.66E+00   15   0  2.29E-05 7.72E+00 1.67E+00
  53 2.62E+00 7.65E+03 6.32E+14 2.72E+02 4.72E+00   15   0  2.42E-05 7.65E+00 1.67E+00
  54 2.79E+00 7.46E+03 6.40E+14 2.76E+02 4.78E+00   15   0  2.55E-05 7.58E+00 1.66E+00
  55 2.97E+00 7.27E+03 6.49E+14 2.79E+02 4.84E+00   15   0  2.69E-05 7.52E+00 1.66E+00
  56 3.16E+00 7.08E+03 6.57E+14 2.83E+02 4.90E+00   15   0  2.84E-05 7.45E+00 1.65E+00
  57 3.36E+00 6.89E+03 6.66E+14 2.87E+02 4.97E+00   15   0  3.00E-05 7.38E+00 1.65E+00
  58 3.58E+00 6.70E+03 6.75E+14 2.91E+02 5.04E+00   15   0  3.17E-05 7.32E+00 1.64E+00
  59 3.81E+00 6.52E+03 6.85E+14 2.95E+02 5.11E+00   15   0  3.35E-05 7.25E+00 1.64E+00
  60 4.06E+00 6.33E+03 6.95E+14 2.99E+02 5.18E+00   15   0  3.54E-05 7.18E+00 1.63E+00
  61 4.32E+00 6.21E+03 7.02E+14 3.02E+02 5.24E+00   15   0  3.70E-05 7.14E+00 1.63E+00
  62 4.60E+00 6.02E+03 7.13E+14 3.07E+02 5.32E+00   14   0  3.91E-05 7.07E+00 1.63E+00
  63 4.90E+00 5.84E+03 7.24E+14 3.12E+02 5.40E+00   14   0  4.14E-05 7.00E+00 1.62E+00
  64 5.22E+00 5.66E+03 7.35E+14 3.17E+02 5.48E+00   14   0  4.39E-05 6.94E+00 1.62E+00
  65 5.56E+00 5.44E+03 7.50E+14 3.23E+02 5.59E+00   14   0  4.70E-05 6.89E+00 1.61E+00
  66 5.92E+00 5.27E+03 7.62E+14 3.28E+02 5.69E+00   14   0  4.98E-05 6.83E+00 1.61E+00
  67 6.30E+00 5.09E+03 7.75E+14 3.34E+02 5.78E+00   14   0  5.28E-05 6.76E+00 1.60E+00
  68 6.71E+00 4.92E+03 7.88E+14 3.40E+02 5.88E+00   14   0  5.61E-05 6.69E+00 1.60E+00
  69 7.14E+00 4.75E+03 8.02E+14 3.46E+02 5.99E+00   14   0  5.95E-05 6.63E+00 1.60E+00
  70 7.61E+00 4.58E+03 8.17E+14 3.52E+02 6.09E+00   14   0  6.32E-05 6.56E+00 1.60E+00
  71 8.10E+00 4.42E+03 8.32E+14 3.58E+02 6.21E+00   14   0  6.72E-05 6.49E+00 1.59E+00
  72 8.62E+00 4.26E+03 8.48E+14 3.65E+02 6.32E+00   13   0  7.14E-05 6.42E+00 1.59E+00
  73 9.18E+00 4.14E+03 8.59E+14 3.70E+02 6.41E+00   13   0  7.48E-05 6.37E+00 1.59E+00
  74 9.78E+00 3.99E+03 8.76E+14 3.77E+02 6.54E+00   13   0  7.96E-05 6.30E+00 1.59E+00
  75 1.04E+01 3.83E+03 8.94E+14 3.85E+02 6.67E+00   13   0  8.48E-05 6.23E+00 1.58E+00
  76 1.11E+01 3.68E+03 9.12E+14 3.93E+02 6.81E+00   13   1  9.04E-05 6.16E+00 1.58E+00
  77 1.18E+01 3.53E+03 9.31E+14 4.01E+02 6.95E+00   13   1  9.63E-05 6.08E+00 1.58E+00
  78 1.26E+01 3.35E+03 9.56E+14 4.12E+02 7.13E+00   13   0  1.04E-04 6.02E+00 1.58E+00
  79 1.34E+01 3.21E+03 9.76E+14 4.21E+02 7.29E+00   13   0  1.11E-04 5.95E+00 1.57E+00
  80 1.42E+01 3.05E+03 1.00E+15 4.31E+02 7.47E+00   12   0  1.19E-04 5.94E+00 1.57E+00
  81 1.52E+01 2.92E+03 1.02E+15 4.41E+02 7.64E+00   12   0  1.27E-04 5.86E+00 1.57E+00
  82 1.62E+01 2.79E+03 1.05E+15 4.51E+02 7.82E+00   12   0  1.35E-04 5.78E+00 1.57E+00
  83 1.72E+01 2.66E+03 1.07E+15 4.62E+02 8.00E+00   12   1  1.45E-04 5.71E+00 1.56E+00
  84 1.83E+01 2.54E+03 1.10E+15 4.73E+02 8.19E+00   12   1  1.55E-04 5.63E+00 1.56E+00
  85 1.95E+01 2.42E+03 1.12E+15 4.85E+02 8.39E+00   12   1  1.66E-04 5.55E+00 1.56E+00
  86 2.08E+01 2.30E+03 1.15E+15 4.97E+02 8.60E+00   12   1  1.77E-04 5.46E+00 1.56E+00
  87 2.21E+01 2.19E+03 1.18E+15 5.09E+02 8.82E+00   11   1  1.90E-04 5.38E+00 1.56E+00
  88 2.35E+01 2.08E+03 1.21E+15 5.22E+02 9.04E+00   11   1  2.03E-04 5.30E+00 1.56E+00
  89 2.51E+01 2.01E+03 1.23E+15 5.32E+02 9.21E+00   11   2  2.14E-04 5.21E+00 1.55E+00
  90 2.67E+01 1.91E+03 1.27E+15 5.45E+02 9.45E+00   11   2  2.29E-04 5.12E+00 1.55E+00
  91 2.84E+01 1.81E+03 1.30E+15 5.60E+02 9.70E+00   11   2  2.46E-04 5.03E+00 1.55E+00
  92 3.03E+01 1.72E+03 1.33E+15 5.75E+02 9.96E+00   11   2  2.64E-04 4.95E+00 1.55E+00
  93 3.22E+01 1.63E+03 1.37E+15 5.91E+02 1.02E+01   10   2  2.83E-04 4.86E+00 1.55E+00
  94 3.43E+01 1.54E+03 1.41E+15 6.07E+02 1.05E+01   10   2  3.04E-04 4.77E+00 1.54E+00
  95 3.65E+01 1.46E+03 1.45E+15 6.23E+02 1.08E+01   10   2  3.27E-04 4.69E+00 1.54E+00
  96 3.89E+01 1.38E+03 1.49E+15 6.41E+02 1.11E+01   10   2  3.51E-04 4.60E+00 1.54E+00
  97 4.14E+01 1.31E+03 1.53E+15 6.59E+02 1.14E+01   10   2  3.77E-04 4.51E+00 1.54E+00
  98 4.41E+01 1.24E+03 1.57E+15 6.78E+02 1.17E+01   10   2  4.06E-04 4.43E+00 1.53E+00
  99 4.70E+01 1.17E+03 1.62E+15 6.97E+02 1.21E+01    9   2 4.36E-04 4.34E+00 1.53E+00
 100 5.00E+01 1.10E+03 1.66E+15 7.17E+02 1.24E+01    9   3 4.69E-04 4.26E+00 1.53E+00
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
