 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerCkmh_2600_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerC_2600_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  0.000  1.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1557 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  11 1.87E-01 1.74E+04 4.19E+14 1.81E+02 3.13E+00   19   0  2.83E-06 1.05E+01 1.28E+00
  12 1.99E-01 1.72E+04 4.21E+14 1.82E+02 3.14E+00   19   0  2.98E-06 1.06E+01 1.30E+00
  13 2.12E-01 1.70E+04 4.24E+14 1.83E+02 3.16E+00   19   0  3.13E-06 1.06E+01 1.33E+00
  14 2.26E-01 1.68E+04 4.26E+14 1.84E+02 3.18E+00   18   0  3.30E-06 1.07E+01 1.35E+00
  15 2.41E-01 1.66E+04 4.29E+14 1.85E+02 3.20E+00   18   0  3.47E-06 1.07E+01 1.37E+00
  16 2.56E-01 1.64E+04 4.31E+14 1.86E+02 3.22E+00   18   0  3.65E-06 1.07E+01 1.40E+00
  17 2.73E-01 1.62E+04 4.34E+14 1.87E+02 3.24E+00   18   0  3.84E-06 1.07E+01 1.42E+00
  18 2.91E-01 1.60E+04 4.37E+14 1.88E+02 3.26E+00   18   0  4.04E-06 1.07E+01 1.44E+00
  19 3.10E-01 1.58E+04 4.40E+14 1.89E+02 3.28E+00   18   0  4.26E-06 1.07E+01 1.47E+00
  20 3.30E-01 1.56E+04 4.43E+14 1.91E+02 3.31E+00   18   0  4.48E-06 1.07E+01 1.49E+00
  21 3.51E-01 1.54E+04 4.46E+14 1.92E+02 3.33E+00   18   0  4.71E-06 1.07E+01 1.51E+00
  22 3.74E-01 1.50E+04 4.51E+14 1.94E+02 3.36E+00   18   0  5.02E-06 1.07E+01 1.53E+00
  23 3.98E-01 1.48E+04 4.54E+14 1.96E+02 3.39E+00   18   0  5.28E-06 1.07E+01 1.55E+00
  24 4.24E-01 1.46E+04 4.58E+14 1.97E+02 3.42E+00   18   0  5.55E-06 1.07E+01 1.56E+00
  25 4.51E-01 1.43E+04 4.62E+14 1.99E+02 3.45E+00   18   0  5.84E-06 1.06E+01 1.58E+00
  26 4.80E-01 1.41E+04 4.66E+14 2.01E+02 3.48E+00   18   0  6.14E-06 1.05E+01 1.59E+00
  27 5.11E-01 1.39E+04 4.70E+14 2.02E+02 3.51E+00   18   0  6.46E-06 1.05E+01 1.61E+00
  28 5.45E-01 1.36E+04 4.74E+14 2.04E+02 3.54E+00   18   0  6.78E-06 1.04E+01 1.62E+00
  29 5.80E-01 1.34E+04 4.78E+14 2.06E+02 3.57E+00   17   0  7.13E-06 1.03E+01 1.63E+00
  30 6.17E-01 1.31E+04 4.83E+14 2.08E+02 3.60E+00   17   0  7.49E-06 1.02E+01 1.64E+00
  31 6.57E-01 1.29E+04 4.87E+14 2.10E+02 3.63E+00   17   0  7.86E-06 1.01E+01 1.65E+00
  32 7.00E-01 1.26E+04 4.92E+14 2.12E+02 3.67E+00   17   0  8.26E-06 1.00E+01 1.65E+00
  33 7.45E-01 1.24E+04 4.97E+14 2.14E+02 3.70E+00   17   0  8.67E-06 9.89E+00 1.65E+00
  34 7.94E-01 1.22E+04 5.01E+14 2.16E+02 3.74E+00   17   0  9.09E-06 9.77E+00 1.66E+00
  35 8.45E-01 1.19E+04 5.06E+14 2.18E+02 3.78E+00   17   0  9.54E-06 9.63E+00 1.66E+00
  36 9.00E-01 1.17E+04 5.11E+14 2.20E+02 3.82E+00   17   0  1.00E-05 9.50E+00 1.66E+00
  37 9.58E-01 1.15E+04 5.16E+14 2.22E+02 3.85E+00   17   0  1.05E-05 9.35E+00 1.66E+00
  38 1.02E+00 1.12E+04 5.22E+14 2.25E+02 3.89E+00   17   0  1.10E-05 9.20E+00 1.65E+00
  39 1.09E+00 1.10E+04 5.27E+14 2.27E+02 3.93E+00   17   0  1.15E-05 9.05E+00 1.65E+00
  40 1.16E+00 1.08E+04 5.33E+14 2.29E+02 3.97E+00   17   0  1.21E-05 8.90E+00 1.65E+00
  41 1.23E+00 1.06E+04 5.38E+14 2.32E+02 4.02E+00   16   0  1.27E-05 8.74E+00 1.64E+00
  42 1.31E+00 1.03E+04 5.44E+14 2.34E+02 4.06E+00   16   0  1.33E-05 8.58E+00 1.63E+00
  43 1.40E+00 1.01E+04 5.50E+14 2.37E+02 4.10E+00   16   0  1.39E-05 8.42E+00 1.63E+00
  44 1.49E+00 9.91E+03 5.56E+14 2.39E+02 4.15E+00   16   0  1.45E-05 8.26E+00 1.62E+00
  45 1.58E+00 9.69E+03 5.62E+14 2.42E+02 4.19E+00   16   0  1.53E-05 8.16E+00 1.61E+00
  46 1.69E+00 9.48E+03 5.68E+14 2.45E+02 4.24E+00   16   0  1.61E-05 8.08E+00 1.61E+00
  47 1.80E+00 9.27E+03 5.74E+14 2.47E+02 4.29E+00   16   0  1.70E-05 8.00E+00 1.61E+00
  48 1.91E+00 9.06E+03 5.81E+14 2.50E+02 4.34E+00   16   0  1.79E-05 7.92E+00 1.61E+00
  49 2.04E+00 8.85E+03 5.88E+14 2.53E+02 4.39E+00   16   0  1.88E-05 7.85E+00 1.60E+00
  50 2.17E+00 8.64E+03 5.95E+14 2.56E+02 4.44E+00   16   0  1.99E-05 7.77E+00 1.60E+00
  51 2.31E+00 8.44E+03 6.02E+14 2.59E+02 4.49E+00   16   0  2.09E-05 7.70E+00 1.59E+00
  52 2.46E+00 8.23E+03 6.09E+14 2.63E+02 4.55E+00   15   0  2.21E-05 7.63E+00 1.59E+00
  53 2.62E+00 8.03E+03 6.17E+14 2.66E+02 4.60E+00   15   0  2.33E-05 7.57E+00 1.59E+00
  54 2.79E+00 7.83E+03 6.25E+14 2.69E+02 4.66E+00   15   0  2.46E-05 7.50E+00 1.58E+00
  55 2.97E+00 7.63E+03 6.33E+14 2.73E+02 4.72E+00   15   0  2.59E-05 7.43E+00 1.58E+00
  56 3.16E+00 7.43E+03 6.42E+14 2.76E+02 4.79E+00   15   0  2.74E-05 7.37E+00 1.57E+00
  57 3.36E+00 7.23E+03 6.50E+14 2.80E+02 4.85E+00   15   0  2.89E-05 7.31E+00 1.57E+00
  58 3.58E+00 7.04E+03 6.59E+14 2.84E+02 4.92E+00   15   0  3.06E-05 7.25E+00 1.57E+00
  59 3.81E+00 6.84E+03 6.69E+14 2.88E+02 4.99E+00   15   0  3.23E-05 7.18E+00 1.56E+00
  60 4.06E+00 6.65E+03 6.78E+14 2.92E+02 5.06E+00   15   0  3.42E-05 7.12E+00 1.56E+00
  61 4.32E+00 6.51E+03 6.85E+14 2.95E+02 5.11E+00   15   0  3.57E-05 7.08E+00 1.56E+00
  62 4.60E+00 6.32E+03 6.96E+14 3.00E+02 5.19E+00   15   0  3.78E-05 7.02E+00 1.56E+00
  63 4.90E+00 6.12E+03 7.07E+14 3.04E+02 5.27E+00   14   0  4.00E-05 6.96E+00 1.55E+00
  64 5.22E+00 5.93E+03 7.18E+14 3.09E+02 5.36E+00   14   0  4.24E-05 6.90E+00 1.55E+00
  65 5.56E+00 5.71E+03 7.32E+14 3.15E+02 5.46E+00   14   0  4.54E-05 6.86E+00 1.54E+00
  66 5.92E+00 5.52E+03 7.44E+14 3.21E+02 5.55E+00   14   0  4.81E-05 6.79E+00 1.54E+00
  67 6.30E+00 5.34E+03 7.57E+14 3.26E+02 5.65E+00   14   0  5.10E-05 6.73E+00 1.54E+00
  68 6.71E+00 5.15E+03 7.70E+14 3.32E+02 5.75E+00   14   0  5.42E-05 6.67E+00 1.54E+00
  69 7.14E+00 4.98E+03 7.84E+14 3.38E+02 5.85E+00   14   0  5.76E-05 6.61E+00 1.54E+00
  70 7.61E+00 4.80E+03 7.98E+14 3.44E+02 5.96E+00   14   0  6.12E-05 6.54E+00 1.53E+00
  71 8.10E+00 4.62E+03 8.13E+14 3.50E+02 6.07E+00   14   0  6.50E-05 6.48E+00 1.53E+00
  72 8.62E+00 4.45E+03 8.29E+14 3.57E+02 6.18E+00   13   0  6.92E-05 6.41E+00 1.53E+00
  73 9.18E+00 4.33E+03 8.40E+14 3.62E+02 6.27E+00   13   0  7.25E-05 6.36E+00 1.53E+00
  74 9.78E+00 4.16E+03 8.57E+14 3.69E+02 6.39E+00   13   0  7.72E-05 6.30E+00 1.53E+00
  75 1.04E+01 4.00E+03 8.75E+14 3.77E+02 6.53E+00   13   0  8.22E-05 6.23E+00 1.53E+00
  76 1.11E+01 3.84E+03 8.93E+14 3.85E+02 6.66E+00   13   1  8.76E-05 6.16E+00 1.53E+00
  77 1.18E+01 3.68E+03 9.12E+14 3.93E+02 6.80E+00   13   1  9.35E-05 6.09E+00 1.53E+00
  78 1.26E+01 3.48E+03 9.37E+14 4.04E+02 6.99E+00   13   1  1.01E-04 6.05E+00 1.52E+00
  79 1.34E+01 3.34E+03 9.57E+14 4.12E+02 7.14E+00   13   0  1.08E-04 5.96E+00 1.53E+00
  80 1.42E+01 3.17E+03 9.82E+14 4.23E+02 7.32E+00   12   0  1.16E-04 5.94E+00 1.52E+00
  81 1.52E+01 3.03E+03 1.00E+15 4.33E+02 7.49E+00   12   0  1.23E-04 5.87E+00 1.52E+00
  82 1.62E+01 2.89E+03 1.03E+15 4.43E+02 7.67E+00   12   0  1.32E-04 5.79E+00 1.52E+00
  83 1.72E+01 2.76E+03 1.05E+15 4.53E+02 7.85E+00   12   1  1.41E-04 5.72E+00 1.52E+00
  84 1.83E+01 2.63E+03 1.08E+15 4.65E+02 8.05E+00   12   1  1.51E-04 5.64E+00 1.52E+00
  85 1.95E+01 2.50E+03 1.11E+15 4.76E+02 8.25E+00   12   1  1.61E-04 5.56E+00 1.52E+00
  86 2.08E+01 2.38E+03 1.13E+15 4.88E+02 8.45E+00   12   1  1.73E-04 5.48E+00 1.52E+00
  87 2.21E+01 2.27E+03 1.16E+15 5.01E+02 8.67E+00   11   1  1.85E-04 5.40E+00 1.52E+00
  88 2.35E+01 2.15E+03 1.19E+15 5.13E+02 8.89E+00   11   1  1.98E-04 5.32E+00 1.52E+00
  89 2.51E+01 2.07E+03 1.21E+15 5.23E+02 9.06E+00   11   2  2.09E-04 5.23E+00 1.52E+00
  90 2.67E+01 1.97E+03 1.25E+15 5.37E+02 9.30E+00   11   2  2.24E-04 5.14E+00 1.52E+00
  91 2.84E+01 1.87E+03 1.28E+15 5.52E+02 9.55E+00   11   2  2.41E-04 5.05E+00 1.52E+00
  92 3.03E+01 1.77E+03 1.32E+15 5.67E+02 9.81E+00   11   2  2.59E-04 4.97E+00 1.52E+00
  93 3.22E+01 1.67E+03 1.35E+15 5.82E+02 1.01E+01   10   2  2.78E-04 4.88E+00 1.52E+00
  94 3.43E+01 1.58E+03 1.39E+15 5.99E+02 1.04E+01   10   2  2.98E-04 4.80E+00 1.52E+00
  95 3.65E+01 1.50E+03 1.43E+15 6.15E+02 1.07E+01   10   2  3.21E-04 4.71E+00 1.52E+00
  96 3.89E+01 1.42E+03 1.47E+15 6.33E+02 1.10E+01   10   2  3.45E-04 4.62E+00 1.51E+00
  97 4.14E+01 1.34E+03 1.51E+15 6.51E+02 1.13E+01   10   2  3.71E-04 4.54E+00 1.51E+00
  98 4.41E+01 1.26E+03 1.55E+15 6.70E+02 1.16E+01   10   2  3.99E-04 4.45E+00 1.51E+00
  99 4.70E+01 1.19E+03 1.60E+15 6.89E+02 1.19E+01    9   2 4.29E-04 4.37E+00 1.51E+00
 100 5.00E+01 1.13E+03 1.65E+15 7.10E+02 1.23E+01    9   3 4.62E-04 4.28E+00 1.51E+00
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
